year,region,mtumors,syncmtumors,insitu,ncervix,nhospotal_pht,nbeds_pht,ybeds_pht,nill_pht,nvillage_ill_pht,bed_days_pht,dvisits_pht,hvisits_pht,ndoctors_pht,nnursing_pht,nx_ray_pht,nflurography_pht,nradiology_pht,nradlab_pht,nсt_pht,ncardiogram_pht,ndiaglab_pht,nbacter_pht,nbiochem_pht,ncyto_pht,nimun_pht,nphysic_pht,nendoscop_pht,nultrasound_pht,ndialysis_pht,air_pollution,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants,cpi,population,tincidence_pht,mtumors_pht,syncmtumors_pht,insitu_pht,insitu_pti,mtumors_pti,gdp,aging_level,mean_age
2011,Запорізька,516.0,142.0,21.0,11.0,4.3302,736.4065,745.4554,19528.8442,4910.9123,236798.6166,523454.5318,49115.3963,291.3288,607.5561,5.385,2.8868,0.2776,0.111,0.1665,7.328,8.6048,0.6107,0.111,0.2221,0.1665,9.8817,2.1651,3.3309,0.3331,229.3,70.0,1.0,69.0,408.0,104.6,1801315.0,393.4348,28.6457393626323,7.883129824600362,1.165814974060617,2.9631720050797234,72.8093692676732,27567,19.6,43.6
2011,Івано-Франківська,175.0,31.0,33.0,16.0,4.421,737.3714,760.9261,21798.044,12529.9507,235289.6071,525284.3598,50221.9217,289.8861,575.6592,5.2908,3.5513,0.145,0.0,0.2899,9.7843,14.7126,0.2899,0.0,0.0725,0.0725,15.22,2.8266,4.2036,0.5073,221.8,5.0,0.0,5.0,134.0,104.6,1379766.0,275.0466,12.683310068518864,2.2467577835661987,2.391709898634986,8.695652173913043,46.1133069828722,19386,17.7,40.6
2011,Київська,392.0,120.0,47.0,27.0,4.6575,750.0368,753.8793,21830.1877,8688.3292,244161.1179,601533.6661,36301.5377,286.569,594.9848,4.25,2.7363,0.1164,0.1164,0.2329,15.0788,15.3116,0.1747,0.1164,0.0582,0.0,15.2534,2.5616,3.6678,0.1747,113.6,5.0,0.0,5.0,174.0,104.6,1717649.0,346.3455,22.821892016354912,6.986293474394361,2.7362982774711244,7.900487476886872,65.89342746680114,34420,19.6,42.8
2011,Кіровоградська,347.0,117.0,25.0,20.0,5.5446,811.1986,830.4067,23759.2167,8507.3372,281365.4037,470609.9187,29240.1783,257.7508,627.2358,5.8417,3.7624,0.198,0.198,0.198,14.4556,11.9804,0.099,0.0,0.198,0.198,14.3566,2.3763,4.3565,0.099,15.2,7.0,0.0,7.0,88.0,104.6,1009987.0,432.0848,34.356877860804154,11.584307520789872,2.475279384784161,5.728689275893676,79.51420714940421,19918,20.8,43.7
2011,Луганська,488.0,134.0,53.0,29.0,4.7572,792.5732,816.1846,22877.9573,2631.2034,276992.1149,639885.33,48801.2548,294.7818,619.9943,5.8046,3.3606,0.1746,0.1309,0.2182,5.1063,8.7724,0.8292,0.4364,0.4364,0.1746,8.8597,1.9203,3.0114,0.0436,472.0,87.0,24.0,63.0,689.0,104.6,2291271.0,311.4429,21.2982226895029,5.848282459822517,2.3131266445566676,7.427130044843049,68.38565022421524,25067,20.2,44.4
2011,Львівська,481.0,126.0,186.0,181.0,4.0083,780.2344,787.0327,21190.8998,8657.1244,262044.9255,518695.6429,47755.8878,265.7041,557.2556,4.5977,2.7901,0.1179,0.1179,0.1572,6.5232,11.0031,0.1572,0.0786,0.0786,0.0,11.0424,1.8469,3.2223,0.0393,129.4,53.0,2.0,51.0,331.0,104.6,2544748.0,315.9841,18.901675136398577,4.951374360054513,7.309171674366185,23.131451312025867,59.81843054346474,20490,17.9,41.2
2011,Миколаївська,355.0,48.0,35.0,25.0,4.31,698.143,701.0163,20695.3203,7134.732,231886.0593,591535.5765,29658.1035,240.3907,509.0503,4.31,2.6198,0.0845,0.0845,0.169,5.3242,9.8878,0.0845,0.2535,0.169,0.169,9.4652,2.7889,3.972,0.0845,25.7,26.0,0.0,26.0,111.0,104.6,1183282.0,407.6797,30.001301464908618,4.056514000889052,2.9578747923149344,7.255389718076286,73.59038142620233,23402,18.0,42.3
2011,Одеська,413.0,134.0,38.0,26.0,4.1864,721.9499,739.3236,18624.7996,6848.7066,240425.2994,406224.4261,33114.3272,230.8188,485.9922,5.233,2.8468,0.1675,0.1256,0.1256,10.2149,11.429,0.2093,0.0837,0.0419,0.2093,11.5545,1.9676,3.6003,0.1256,30.5,117.0,57.0,60.0,279.0,104.6,2388670.0,367.3592,17.289956335534,5.609816341311273,1.5908434400733462,4.33048433048433,47.065527065527064,25748,17.3,41.6
2011,Полтавська,351.0,101.0,50.0,45.0,4.974,712.552,723.9115,19797.5333,8004.2292,223345.6405,667044.1492,53922.8675,286.3382,617.8621,5.7133,3.0247,0.2016,0.0672,0.2689,15.1235,16.4678,0.3361,0.1344,0.1344,0.0672,14.9891,2.8231,3.3608,0.0672,72.3,4.0,2.0,4.0,146.0,104.6,1487751.0,367.0641,23.59265764230708,6.788770432686653,3.3607774419240855,9.155832265152902,64.27394250137337,35246,21.1,44.1
2011,Рівненська,164.0,40.0,76.0,73.0,4.8589,733.4325,742.3694,22198.1109,12058.2095,252940.6712,602143.2054,42082.3478,275.7205,585.7569,5.206,2.8633,0.1735,0.0868,0.2603,13.7958,14.3164,0.1735,0.0,0.2603,0.1735,14.4899,2.8633,3.5574,0.0868,17.1,20.0,1.0,19.0,127.0,104.6,1152526.0,271.9245,14.229613908927002,3.4706375387626833,6.594211323649098,24.250159540523295,52.32929164007658,16735,15.8,38.9
2011,Сумська,305.0,66.0,16.0,9.0,4.8212,809.0955,825.4031,21622.3406,6999.6487,263194.0762,592307.9969,52116.6654,277.1957,666.9786,3.7881,2.0662,0.0861,0.0861,0.3444,11.8807,13.6887,0.0861,0.0,0.0,0.0,13.2582,2.9271,3.1854,0.0861,35.9,7.0,0.0,7.0,140.0,104.6,1161544.0,397.4882,26.2581529412575,5.6820921118786725,1.3774768756069509,3.4654537578514186,66.06021225904267,19800,20.8,44.4
2011,Тернопільська,181.0,44.0,55.0,39.0,4.981,792.0659,799.9985,22766.9821,12557.9383,269865.1542,797029.0381,72597.6754,307.6669,612.0593,5.1654,3.8741,0.0922,0.0,0.1845,17.5256,19.2782,0.0922,0.0922,0.0922,0.0922,16.9722,2.675,3.3206,0.0922,20.4,3.0,1.0,2.0,51.0,104.6,1084127.0,302.2709,16.695460956142593,4.058565094310906,5.073206367888633,16.783643576441868,55.233445224290506,15055,19.7,42.0
2011,Харківська,561.0,123.0,110.0,67.0,3.1941,702.5496,709.5185,20245.7399,3802.2829,226245.8677,510185.8802,38391.2355,262.8118,568.7164,4.5007,2.3956,0.0726,0.0363,0.2178,4.2104,5.263,0.2904,0.0726,0.0363,0.0726,5.1541,2.2504,3.5933,0.1815,174.1,14.0,6.0,8.0,510.0,104.6,2755108.0,364.7044,20.362178179584976,4.464434788037347,3.9925839567813677,10.947452229299364,55.83200636942675,27966,18.8,43.5
2011,Херсонська,382.0,119.0,31.0,26.0,5.2378,719.0529,723.1972,20433.0491,7676.269,238021.9566,719596.6504,64374.3045,280.0171,609.5869,4.227,3.1243,0.0919,0.0919,0.0919,10.2,11.2108,0.0,0.0,0.0919,0.0919,11.2108,2.2054,2.4811,0.0919,5.8,7.0,6.0,1.0,99.0,104.6,1088237.0,388.1507,35.102647676930665,10.935117993598821,2.8486441832064155,7.339015151515151,90.43560606060606,16990,18.0,42.1
2011,Хмельницька,293.0,60.0,92.0,31.0,4.9739,758.8969,766.6343,22857.6424,10662.6896,256623.9564,558537.4015,35292.6991,258.3603,546.6582,5.3507,3.7681,0.0754,0.0754,0.1507,13.942,14.2434,0.829,0.0,0.2261,0.0,14.0927,2.5623,3.2406,0.0754,18.7,1.0,0.0,1.0,103.0,104.6,1326926.0,366.863,22.081110777842927,4.521729169524148,6.933318059937028,18.898931799506983,60.188989317995066,17260,20.8,43.3
2011,Черкаська,345.0,129.0,36.0,14.0,5.6014,720.5629,733.3217,22894.3257,9904.6666,240769.9178,579159.3018,46105.2106,271.203,619.1535,4.8235,2.9563,0.1556,0.0778,0.2334,10.1915,14.9372,0.4668,0.0,0.1556,0.1556,15.1706,2.7229,3.6565,0.0778,62.2,8.0,2.0,6.0,155.0,104.6,1285384.0,368.7614,26.84022828975621,10.035911447474062,2.800719473713692,7.594936708860759,72.78481012658227,21082,21.6,44.3
2011,Чернівецька,126.0,22.0,12.0,8.0,5.0869,679.2167,699.9437,21925.2508,12689.6957,245663.1099,453443.801,23668.8537,250.4763,486.0513,5.1975,3.7599,0.1106,0.1106,0.3318,15.2608,18.0255,1.1059,0.0,0.0,0.2212,17.9149,2.3223,3.8705,0.1106,3.8,5.0,4.0,1.0,99.0,104.6,904277.0,266.0689,13.933783564107015,2.4328828445266217,1.32702700610543,4.987531172069825,52.36907730673316,13228,17.2,40.4
2011,Чернігівська,336.0,114.0,27.0,15.0,6.7382,948.3623,956.9945,25404.1808,9508.9368,311646.8723,617909.6147,48365.4751,277.6794,692.6733,5.4634,3.3691,0.0911,0.1821,0.3642,13.9318,14.4781,0.5463,0.0911,0.0,0.0911,15.1155,3.187,3.9155,0.0911,49.5,19.0,14.0,19.0,64.0,104.6,1098209.0,367.5985,30.595269206498948,10.380537766490715,2.4585484183793795,6.688134753529849,83.23012137726035,19357,24.0,45.8
2019,Вінницька,435.0,113.0,54.0,30.0,3.4607,578.8923,588.4988,19917.4696,9682.2341,187350.5025,314947.8914,1112.3473,220.4411,449.5339,4.0374,2.3071,0.1923,0.0641,0.2563,6.0882,7.434,0.5127,0.0641,0.0641,0.0,5.5114,2.1149,3.5888,0.0641,99.7,1.0,1.0,1.0,99.0,104.1,1560394.0,374.4567,27.877574510027596,7.241760734788778,3.46066442193446,9.241827828170461,74.44805750470648,83175,21.9,44.2
2019,Вінницька,435.0,113.0,54.0,30.0,3.4607,578.8923,588.4988,19917.4696,9682.2341,187350.5025,314947.8914,1112.3473,220.4411,449.5339,4.0374,2.3071,0.1923,0.0641,0.2563,6.0882,7.434,0.5127,0.0641,0.0641,0.0,5.5114,2.1149,3.5888,0.0641,99.7,1.0,1.0,1.0,99.0,104.1,1560394.0,374.4567,27.877574510027596,7.241760734788778,3.46066442193446,9.241827828170461,74.44805750470648,83133,21.9,44.2
